battery_power	int_memory	ram
842	7	2549
1021	53	2631
563	41	2603
615	10	2769
1821	44	1411
1859	22	1067
1821	10	3220
1954	24	700
1445	53	1099
509	9	513
769	9	3946
1520	33	3826
1815	33	1482
803	17	2680
1866	52	373
775	46	568
838	13	3554
595	23	3752
1131	49	1835
682	19	2337
772	39	2819
1709	13	3283
1949	47	1433
1602	38	1037
503	8	2583
961	57	2782
519	51	3763
956	41	3286
1453	52	2373
851	21	478
1579	5	3532
1568	33	508
1319	41	2227
1310	51	3845
644	22	1262
725	60	1326
589	61	2113
1725	6	3429
790	11	3169
560	50	2150
1347	44	2484
1646	41	3339
1253	5	1878
1656	34	1629
1195	20	504
1514	27	1152
1723	42	3587
1054	40	2296
578	57	1270
596	64	3238
1547	14	2059
1760	63	2053
1654	43	3112
1457	16	1440
1073	51	2908
1936	46	2552
823	60	905
987	61	3963
1757	49	2056
1063	48	2910
1484	12	1457
799	63	431
1156	50	470
1720	55	2148
702	9	2955
616	44	3366
1358	36	3068
1866	30	3834
1242	10	1050
1166	43	3993
1448	45	3378
1407	22	2192
605	9	392
1038	43	3709
797	38	590
819	42	1814
1114	9	907
1234	33	1449
1199	16	3448
1103	29	1837
1589	58	3464
999	64	2593
1510	45	3484
1008	61	2009
1127	57	2048
1412	25	837
1496	42	854
1083	64	3210
668	3	2746
1309	33	2334
1724	57	2822
1977	54	1971
885	15	1410
879	14	349
1322	7	1418
1137	7	3616
1355	23	880
1665	60	1601
657	37	1412
593	31	1692
1883	10	2600
1732	12	1308
543	57	2413
1939	55	1047
553	8	1204
832	39	1799
1661	23	2676
1657	42	2597
1135	46	3029
1775	41	2343
783	43	2016
617	32	2213
867	4	790
1310	7	3182
1804	22	3472
1900	18	2871
909	53	3187
1084	40	1945
1308	46	488
1778	15	1214
1701	10	2598
772	10	3242
825	52	3534
1379	36	3426
1166	25	2488
1659	16	3255
826	58	2863
1564	25	1496
1957	31	3801
1571	19	666
1414	54	3799
1790	2	1366
645	41	2962
668	30	2399
1652	36	2338
1213	16	2700
1272	22	2235
866	46	3825
536	3	284
523	14	1427
1753	31	1324
1218	14	398
1537	43	3685
786	33	2390
1678	64	278
1814	9	3556
1101	31	2196
1461	40	3799
1216	47	2268
506	41	2965
843	56	2341
742	56	3557
1692	61	1354
1485	32	2147
1547	45	505
1692	46	1394
637	60	374
1224	6	506
1356	29	3702
1840	34	1078
1481	37	2945
961	51	2981
1296	14	490
1193	26	536
1441	3	2317
517	33	3704
748	27	2126
1126	10	2050
1572	58	2462
1569	44	1260
1270	32	3770
1854	8	1886
625	10	3323
1577	42	2060
534	16	3926
946	25	2177
685	29	728
1949	23	2478
947	22	2842
801	63	1617
703	30	1472
1165	41	764
1082	38	2337
959	20	3965
1502	54	3693
1380	4	797
1266	5	1687
1934	46	2940
1905	6	1545
1831	43	3834
596	46	2505
1562	7	2243
1490	64	3600
1523	57	3971
640	20	2844
1526	23	2227
1989	41	1665
1308	61	3355
609	26	1866
1905	36	1287
1703	22	1046
1445	20	1441
1087	16	690
671	30	2504
1472	61	2677
765	47	2243
1642	8	2984
1265	49	1362
664	51	3629
1277	35	3559
1395	23	2571
1539	41	2107
1049	63	1022
1827	39	2844
903	50	711
1987	53	3117
1154	49	978
1336	17	1869
1886	24	1179
1551	51	3844
850	29	593
660	40	588
1225	13	3836
1452	25	2669
1686	38	2958
1634	17	3031
1708	49	3388
1151	31	2377
1578	37	2458
1689	24	2766
1488	39	3054
1313	9	3791
1715	31	625
1442	27	2227
528	6	3256
1523	11	707
1133	42	1457
1718	6	3755
1330	38	1733
1799	49	720
633	49	3560
724	44	2311
822	51	3846
1918	10	1717
1891	37	3704
1373	50	3800
862	23	278
1273	48	1767
957	7	1846
1617	30	829
893	55	2986
1210	63	2394
708	63	2169
835	7	1181
1450	19	575
973	57	2977
601	4	532
507	32	1702
564	51	1074
1559	6	3352
754	59	1027
728	25	2039
1431	56	461
767	28	527
1722	18	3271
1992	57	606
1876	40	2513
1054	38	1675
1283	47	2698
1281	28	1129
1066	7	468
730	4	1210
1053	45	3086
1611	3	1595
793	30	2332
1220	62	2589
1662	61	3760
1281	8	1851
538	2	417
823	39	294
1733	36	3576
1429	40	3945
1839	54	927
659	6	2044
1953	56	2334
1172	27	1477
612	16	3161
1563	24	3660
1191	26	1604
615	42	2211
1893	63	3822
1563	16	3922
1995	9	1203
1517	48	2822
832	34	447
1162	56	1652
1595	12	3608
1329	52	1228
928	56	666
1656	38	1499
1937	58	3321
977	57	1206
768	56	952
1464	12	3927
1177	29	311
1348	52	955
1956	37	1109
1751	8	2969
1530	42	725
1997	40	1655
1414	44	3490
1707	41	1774
894	50	3615
645	41	714
1163	49	2768
1126	49	3739
1648	64	610
1170	14	715
508	42	663
1097	64	1725
728	5	834
1980	29	3865
1504	64	3059
1379	63	651
1698	18	796
920	25	785
1144	21	3252
1995	26	1322
1430	27	2832
972	13	1615
662	20	2125
1867	9	990
1730	20	1595
1723	7	1213
1882	47	2500
803	18	2801
580	47	3451
668	48	1201
1391	36	3139
1560	22	1938
821	54	3185
811	2	2111
1989	17	2369
1034	37	3625
618	6	1051
654	52	1036
576	10	2938
667	3	2855
869	57	2727
635	42	2973
609	44	2581
1557	2	2690
1604	33	916
1182	8	2563
848	19	3359
1610	64	941
1828	17	2280
880	50	827
1394	62	473
1960	61	3865
809	21	1274
899	57	364
1976	32	3699
879	21	2927
916	36	1470
763	2	1050
508	9	2616
825	34	2915
1864	46	2686
1725	52	1243
1108	52	3264
1011	36	2261
1703	55	2993
1067	58	706
1334	42	2542
775	30	2523
1899	26	336
930	14	2457
1058	19	418
1187	46	3917
1874	8	1246
1482	48	2971
1809	59	2324
864	54	3121
625	33	3801
1880	18	3333
1138	44	3475
560	23	2360
1117	12	2895
1712	63	3652
1836	26	3097
1036	39	2101
1860	23	3918
1375	9	3869
1945	57	732
1896	7	3684
788	57	3969
880	33	1414
1323	28	1892
1868	42	3131
1266	7	2532
1042	50	3215
