BALANCE	PURCHASES	ONEOFF_PURCHASES	CREDIT_LIMIT	PAYMENTS	MINIMUM_PAYMENTS
40.900749	95.4	0	1000	201.802084	139.509787
3202.467416	0	0	7000	4103.032597	1072.340217
2495.148862	773.17	773.17	7500	622.066742	627.284787
1666.670542	1499	1499	7500	0	
817.714335	16	16	1200	678.334763	244.791237
1809.828751	1333.28	0	1800	1400.05777	2407.246035
627.260806	7091.01	6402.63	13500	6354.314328	198.065894
1823.652743	436.2	0	2300	679.065082	532.03399
1014.926473	861.49	661.49	7000	688.278568	311.963409
152.225975	1281.6	1281.6	11000	1164.770591	100.302262
1293.124939	920.12	0	1200	1083.301007	2172.697765
630.794744	1492.18	1492.18	2000	705.618627	155.549069
1516.92862	3217.99	2500.23	3000	608.263689	490.207013
921.693369	2137.93	419.96	7500	1655.891435	251.137986
2772.772734	0	0	3000	805.647974	989.962866
6886.213231	1611.7	0	8000	1993.439277	2109.90649
2072.074354	0	0	3000	391.974562	376.579631
41.089489	519	0	2500	254.590662	73.203221
1989.072228	504.35	166	13000	1720.837373	744.613395
3577.970933	398.64	0	4000	1053.980464	12465.54938
2016.684686	176.68	0	2000	223.0686	13557.29726
6369.531318	6359.95	5910.04	11250	2077.959051	1659.775075
132.34224	815.9	0	1800	2359.629958	86.329554
3800.151377	4248.35	3454.56	9000	9479.043842	1425.426525
5368.571219	0	0	6000	1422.726707	1657.002877
169.781679	399.6	0	3000	215.306142	163.005536
1615.96724	102	102	1700	890.178845	971.183209
125.694817	233.28	0	1000	207.773715	164.748819
7152.864372	387.05	204.55	10500	1601.448347	1648.851345
22.06349	100	0	6900	160.767773	159.684442
12136.21996	3038.01	1013.2	13000	4230.323491	3292.01503
1162.273324	1347.71	400	6000	645.998299	256.848991
6732.823064	324.95	324.95	10500	1720.118876	2506.745366
125.660453	636.79	636.79	1200	423.449696	196.301885
3517.101616	547.28	0	11000	8735.607835	17862.55831
1656.350781	0	0	1800	351.500199	634.569311
7427.076941	0	0	9000	1636.361601	1986.843608
4047.480828	2380.55	1642.17	5000	1617.894416	1541.141605
6269.418144	204	204	9000	1237.111661	2049.408839
